content,hashtag,timestamp,User
"All social movements are connected. Our heroes which we honor every time we protest,  against injustice.",KentState,2023-05-04 20:46:51+00:00,JoAnne Jarvis
"is a good day to remember that your government is often willing to kill you outright. It's the anniversary both of the 1970  massacre, and of the 1886 . Look them up if you haven't heard the stories.",KentState,2023-05-04 20:43:11+00:00,lost causes
May *this* fourth be with you always.,KentState,2023-05-04 20:40:07+00:00,BeejⒶy - ketovangelist
"RIP Allison, Jeffrey, Sandra &amp; William 💔",KentState,2023-05-04 20:27:17+00:00,Jaded Mandarin
"in 1970, an anti-Vietnam War demonstration at  turned deadly when the  National Guard shot four unarmed students &amp; wounded nine others, further turning public opinion against the war.

@NeilYoungNYA wrote ""Ohio"" (recorded by ) based on this incident.",KentState,2023-05-04 20:16:05+00:00,Michele ⚜️ Rousseau 🌹
"@RussEisenstein @KentState thanks for the critical history reminder.
I was in 8th grade and remember this vividly.",KentState,2023-05-04 20:12:01+00:00,Rudy Rott
"1970: At noon, approx 1,500 student gather on the commons at ; some spectators, others protested. Told to disperse, the order was met with jeers. Tear gas was then released as students were backed up a hill.   …",KentState,2023-05-04 20:09:58+00:00,Elisha #PoliticallyHomeless
53 years ago today. Never forget.,KentState,2023-05-04 20:09:37+00:00,EldieJune
"Let’s not forget what the real reason may 4th is a gay star wars day, they want you to forget about Kent state.",KentState,2023-05-04 20:09:17+00:00,SATaistician Premonition
"53 years ago today
Four dead in Ohio",KentState,2023-05-04 20:05:59+00:00,MJZ🇺🇦
"American, Cambodian, Cambodian American, the play by play that led to the destruction and transformation of Cambodian people.",KentState,2023-05-04 20:03:50+00:00,Jason Nou
"Do you want to get Amazon gift card ?
If yes 
This is for you-",KentState,2023-05-04 20:03:26+00:00,Gobinda Ghosh
@RussEisenstein @KentState My great uncle Harry Bauer worked for the University and worked in grounds department and was involved in the clean up process. He has since passed I vividly remember him telling me the story about it and the whole event. My family is originally from the Kent area!,KentState,2023-05-04 19:56:51+00:00,Jason Yost
@ratdog69  Never Forget.,KentState,2023-05-04 19:56:12+00:00,EldieJune
@RussEisenstein @KentState Thank you so much for sharing this.,KentState,2023-05-04 19:55:46+00:00,Alex Scheer
"Never forget!  .  

The violence of the state to peaceful protestors caused Ohio State to shut down campus for two weeks, where mass rallies were ongoing.",KentState,2023-05-04 19:51:28+00:00,Pranav Jani/પ્રણવ જાની
"On this day in 1970, a war protest turned deadly as Ohio National Guard troops shot at unarmed students on the  University commons. Four died, nine were wounded, and less than a week later 100,000 marched against the killings, and the , in Washington, DC.",KentState,2023-05-04 19:47:03+00:00,Anette 🌻🌻🌻
Some  history you probably did not know.,KentState,2023-05-04 19:36:09+00:00,ComFest
"One of the most powerful immersive experiences we've offered. 

Thanks to Aliyah Tipton, Anaya Spencer, and our CEL staff leaders Erin Stewart and Tiera Moore for planning and leading this incredibly moving and important trip.",KentState,2023-05-04 19:19:25+00:00,Kent State Community Engaged Learning
@elonmusk @KentState May4th. Never forget.,KentState,2023-05-04 19:17:37+00:00,Tommy D🥷🩸
Former Safety Intern Arielle Houston and current @KentState student presented Cleveland Construction's Toolbox Talk to the @ksu_cmgt Electrical Systems Class during .,KentState,2023-05-04 19:11:06+00:00,"Cleveland Construction, Inc."
"For all the Star Wars hype today, let’s remember what happened on May 4, 1970 when four people lost their lives at @KentState during Vietnam protests when the National Guard opened fire.",KentState,2023-05-04 19:00:38+00:00,Tommy Hough
